word,pronunciation,meaning
catalyst,/ˈkætəlɪst/,"명 figurative (instigator) 선동자, 자극자 
명 (chemistry) (화학) 촉매, 촉매제 "
molecule,/ˈmɒlɪˌkjuːl/,"명 (science: smallest particle) (화학, 물리) 분자 "
refashion,/ˈriːˈfæʃən/,
article,/ˈɑːtɪkəl/,"명 (written composition) 기사, 논설 
명  물건, 품목 
명  조항 "
quilt,/kwɪlt/,"명 (duvet: thick bed covering) (침대커버) 누비이불, 퀼트 
동(자) (stitch a bed cover) 퀼트를 만들다 "
craft,/krɑːft/,"명 (business, trade) 공예품, 수예품 
명 (art, skills) 기술, 솜씨 
명 (vehicle, boat) 배, 비행기 
동(타) (create, make) ~을 솜씨 좋게 만들다 "
synthetic,/sɪnˈθɛtɪk/,"형 (man made, artificial) 합성의, 인조의 
명 (man-made material) 합성물 
형 (relating to synthesis) 종합의, 통합적인 "
dyes,,"명 (coloring material) 염색약 
동(타) (fabric a colour) 염색하다, 물들이다 "
oddball,/ˈɒdˌbɔːl/,"명 slang (eccentric person) (속어) 별난 사람, 괴짜, 미치광이 "
stark,/stɑːk/,"형 (extreme) 극단의 
형  현저한, 눈에 띄는 
형  황량한 
형  뻣뻣한, 굳은 "
recoil,/rɪˈkɔɪl/,"동(자) (flinch: in fright) 물러서다, 뒷걸음질치다, 꽁무니빼다 
동(자) (gun: spring back) (총포) 뒤로 반동하다 
  다시 감다 "
conscientious,/ˌkɒnʃɪˈɛnʃəs/,"형 (meticulous) 세심한, 꼼꼼한 
형 (scrupulous, moral) 양심적인, 성실한 "
conceive,/kənˈsiːv/,"동(타) (idea) 생각해 내다, 착상하다 
동(타)  마음에 품다 
동(타)  상상하다 
동(타) (pregnancy) (아이를) 임신하다 
동(자) (become pregnant) 임신하다 
동(자)  상상하다, 생각하다 "
height,/haɪt/,"명 (dimension, like width) (치수, 넓이처럼) 높이 
명 (in meters, feet) (미터나 피트) 높이, 고도, 해발 
명 (person's stature) 키, 신장 "
onset,/ˈɒnˌsɛt/,"명 (start, beginning) 착수, 개시 
명 archaic (attack) 공격 "
offset,/ˈɒfˌsɛt/,"동(타) (counterbalance) 상쇄하다 
형 (to one side) 한 쪽으로 치우친 
형 (printing) 인쇄법의 
명 (amount offset) 상쇄하는 것, 보충 
명 (printing press) 오프셋 인쇄 "
profound,/prəˈfaʊnd/,"형 figurative (thought, idea: deep in meaning) (생각, 사상이) 심오한, 심원한 
형 (emotion, effect: deeply felt) (감정 등) 의미심장한 
형 (extensive) (측량) 깊은 
형  공손한 
형 (deafness: severe) (귀먹음 등이) 심각한, 뿌리 깊은 "
manifest,/ˈmænɪˌfɛst/,"형 (obvious) 분명한, 명백한 
동(타) (display, show) 분명하게 보여주다, 명시하다 
동(자) (disease, condition: show itself) 나타나다 
명 (shipping list) 선적/적하 목록, 승객 명부 "
provoke,/prəˈvəʊk/,"동(타) (cause: sthg) 불러 일으키다 
동(타) (incite: [sb] to do sthg) 자극하다, 야기하다, 유발하다 
동(타) (anger: [sb]) 성나게 하다 "
instigate,/ˈɪnstɪˌɡeɪt/,"동(타) (cause: sthg) 유발하다 
동(타) (incite, provoke: [sb] to sthg) 부추기다, 선동하다 "
whittle,/ˈwɪtəl/,"동(타) literal (carve wood) (나무를) 깍다 
동(자) (carve, sculpt wood) (나무) 조각하다, 새기다 
동(타) figurative (reduce, eliminate) (비유적) 줄이다, 제거하다 "
prodigal,/ˈprɒdɪɡəl/,"형 (wasteful, overspending) 낭비하는, 탕진하는 
형 (lavish) 헤픈, 아낌없이 쓰는 "
precursor,/prɪˈkɜːsə/,"명 (earlier version of sthg) ~의 이전 버전, 구버전 
  전구체 
명 ([sb] who precedes, forerunner) 선구자, 선봉 
  선배, 선임자 "
delusion,/dɪˈluːʒən/,"명 (mistaken idea) 착각 
명 (hallucination) 망상 "
illusion,/ɪˈluːʒən/,"명 ([sth] not real) 착각 
명 (magic trick) 환영, 환각 "
amalgamate,/əˈmælɡəˌmeɪt/,"동(타) (combine) 통합하다, 합병하다, 결합하다 "
perceive,/pəˈsiːv/,"동(타) (realize) 알아채다, 깨닫다 
동(타) (discern, understand) 간파하다, 이해하다 "
mundane,/ˈmʌndeɪn/,"형 (boring, everyday) 지루한 
형 (everyday) 흔히 있는, 일상의 "
discernible,/dɪˈsɜːnəbəl/,"형 (perceptible, visible) 식별할 수 있는, 분간할 수 있는 "
scrutiny,/ˈskruːtɪnɪ/,"명 (close examination) 면밀한 검사 "
